strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,tier,original_gate,relaxed_5pct_gate,avoided_5pct_drawdown,hard_20d_recovery,median_recovery_20d,majority_recovery_20d,original_joint,relaxed_joint
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'SPY_95_105_collar'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05974307241861698,0.059616553836854935,0.04598274883877609,0.9518718775742946,-0.0535776218114935,0.017460230224185472,1.1150751078279637,-0.007011993604333505,-0.0030764973333290424,0.1358570946720674,289,289,179,179,136.5,0.0,2,0,0.16383267262118054,0.23873524934607307,0.041749375363343555,0.06969655699144406,0.030943907273748517,0.0,0.036669861791788216,0.0,"{""QQQ_vol_target_12"": 0.16666666666666666, ""SHY"": 0.5, ""SPY_95_105_collar"": 0.16666666666666666, ""credit_canary_equity_allocation"": 0.16666666666666666}",,,-0.028539295740569126,-0.0305778930278624,-0.04469689755772899,-0.04567410368896385,-0.04594173228108411,-0.05312130671360893,credit_2008_2021,False,True,False,False,False,False,False,False
full__s100__retail_all_weather_fixed__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,full_gfc_2007_2021,full_gfc_2007_2021,"Monthly equal-weight ('retail_all_weather_fixed', 'SPY_95_105_collar'); 100% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2007-02-01,2021-12-31,14.90079365079365,0.0788156723375768,0.07867319679551277,0.0678206011723383,0.8595227212557183,-0.17568532036450513,0.038123626566407436,0.4486184285292197,-0.009866288798309709,-0.07222800306109478,0.20431709296730283,377,377,180,180,84.0,0.0,7,0,0.12150334685690017,0.26408173627338954,0.05351246576465374,0.09577251235918971,0.013035411391167706,0.26066666666666666,0.049295461795394235,0.18790064102564102,"{""SPY_95_105_collar"": 0.5, ""retail_all_weather_fixed"": 0.5}",-0.16116183968734987,-0.17568532036450402,-0.02021172917693126,-0.03491941716845348,-0.048175037602184334,-0.050392003964533805,-0.08042668058476343,-0.10236652511787292,full_gfc_2007_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__sector_low_ulcer_positive_trend,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'sector_low_ulcer_positive_trend'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.06423458906450241,0.06410480086527226,0.05131492839651618,0.948546924797217,-0.05841986315944969,0.018570112709545873,1.0995333708533714,-0.007996442177374401,-0.00030913032598356427,0.16916688811104819,290,290,180,180,130.0,0.0,5,0,0.19880862917420403,0.24387310628852693,0.04521215671391099,0.074764535151705,0.03523414007800807,0.000363901018922853,0.04692964750390316,0.0,"{""QQQ_vol_target_12"": 0.16666666666666666, ""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.16666666666666666, ""sector_low_ulcer_positive_trend"": 0.16666666666666666}",,,-0.023504852416955657,-0.039940108178712075,-0.057029206820130685,-0.058188225202888355,-0.048391785813596266,-0.05702937962977872,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__SPY_trend_150d__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'SPY_trend_150d', 'SPY_95_105_collar'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05711928941287159,0.056998119611657794,0.04644238271462797,0.9067516590380472,-0.06347785923987537,0.020078629520571458,0.8998301155214531,-0.007211114194258058,-0.024393528060494107,0.1352830363978852,347,347,180,180,164.0,0.0,2,0,0.1580863338506664,0.2292014297979011,0.03895302757400598,0.06716985181003898,0.019558282236396662,0.008005822416302766,0.025553754955615737,0.0,"{""SHY"": 0.5, ""SPY_95_105_collar"": 0.16666666666666666, ""SPY_trend_150d"": 0.16666666666666666, ""credit_canary_equity_allocation"": 0.16666666666666666}",,,-0.021875711879676074,-0.023983850148454167,-0.03760707979776645,-0.0449205307395687,-0.026254614418455335,-0.038579983565828146,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s100__credit_canary_equity_allocation__retail_all_weather_fixed,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'retail_all_weather_fixed'); 100% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.09860446360047259,0.09844963063588019,0.0793371065793656,1.0758130346781525,-0.10549442705913947,0.02760777030798793,0.9346888394890811,-0.01177172385875082,-0.01764472967061892,0.17999279733345874,290,290,181,181,33.0,0.18181818181818182,11,0,0.1346939066898447,0.28181799773310195,0.08620760774006841,0.10543145252518449,0.06179973017664131,0.4243085880640466,0.06696815168790637,0.4193404634581105,"{""credit_canary_equity_allocation"": 0.5, ""retail_all_weather_fixed"": 0.5}",,,0.04378283794625881,-0.02886674108112086,-0.07224615705460746,-0.08509447390702596,-0.0419007472088071,-0.09093620179264206,credit_2008_2021,True,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__QQQ_vol_target_12__all_weather_sleeve_trend_200__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'all_weather_sleeve_trend_200', 'SPY_95_105_collar'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.07570335908685832,0.07555391916295373,0.05789717535001123,1.0335891289716541,-0.06906489524826676,0.02113960729168182,1.0961192196806837,-0.008874253880815846,-0.007221212861964088,0.16266269648729192,291,291,181,181,100.0,0.0,6,0,0.15770927734030782,0.2777976940118323,0.05476498731938628,0.08730839020943959,0.0415324099037262,0.018558951965065504,0.04859700316126281,0.023172905525846704,"{""QQQ_vol_target_12"": 0.1875, ""SHY"": 0.25, ""SPY_95_105_collar"": 0.1875, ""all_weather_sleeve_trend_200"": 0.1875, ""credit_canary_equity_allocation"": 0.1875}",,,-0.016917373427783766,-0.03465340835147268,-0.06501316207247398,-0.06594522078103582,-0.05028650688142133,-0.06906489524826676,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__retail_all_weather_fixed__SPY_95_105_collar__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'retail_all_weather_fixed', 'SPY_95_105_collar', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05720430542406496,0.05708376813920224,0.040604744809851746,1.037084043562864,-0.05596345013567228,0.013869265570679424,1.0221726016781396,-0.006111298404069532,-0.016702239875629687,0.10049461322590636,320,320,181,181,181.0,0.0,1,0,0.1312950525888432,0.22800165493149857,0.04657393851412994,0.06305286913636343,0.0284892813360742,0.0,0.03749176777361796,0.0,"{""SHY"": 0.5, ""SPY_95_105_collar"": 0.125, ""credit_canary_equity_allocation"": 0.125, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.125, ""retail_all_weather_fixed"": 0.125}",,,-0.006153318760880766,-0.014794081826789984,-0.02957324120612448,-0.032626964173598894,-0.033939301815541056,-0.04292355354459587,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__QQQ_vol_target_12__SPY_trend_150d__retail_all_weather_fixed__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'SPY_trend_150d', 'retail_all_weather_fixed', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.08442209019119362,0.08426374873257347,0.06926536110086595,0.9864460005148455,-0.08257251319412795,0.025381173975729438,1.0223994271885284,-0.010850953654751118,-0.027347924310361593,0.1875045932708228,311,311,182,182,85.5,0.1,10,0,0.14956035941771303,0.29197915858499907,0.06217215492681971,0.09676428165822926,0.04123711800838259,0.18085880640465793,0.052981729582243675,0.18449197860962566,"{""QQQ_vol_target_12"": 0.15, ""SHY"": 0.25, ""SPY_trend_150d"": 0.15, ""credit_canary_equity_allocation"": 0.15, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.15, ""retail_all_weather_fixed"": 0.15}",,,-0.009770616049805558,-0.031118690227151302,-0.06785856569484339,-0.06933672092421972,-0.06996970850957462,-0.08257251319412795,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__QQQ_vol_target_12__retail_all_weather_fixed__all_weather_sleeve_trend_200__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'retail_all_weather_fixed', 'all_weather_sleeve_trend_200', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.07920544681965436,0.07905177179360035,0.05912599412501189,1.0785157962941874,-0.0752934784606033,0.01972636191593103,1.0519562708355672,-0.009021019403797332,-0.015699012432466075,0.14625727043298276,292,292,182,182,90.5,0.0,6,0,0.13256898975814027,0.28475201494190255,0.06557969811150244,0.08671706307008464,0.04692681308304847,0.0665938864628821,0.05140690089433342,0.026737967914438502,"{""QQQ_vol_target_12"": 0.15, ""SHY"": 0.25, ""all_weather_sleeve_trend_200"": 0.15, ""credit_canary_equity_allocation"": 0.15, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.15, ""retail_all_weather_fixed"": 0.15}",,,0.009648170110883925,-0.025844784175407476,-0.06202838187456694,-0.06296942753056878,-0.05351710252622066,-0.07485025168740445,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__QQQ_vol_target_12__all_weather_sleeve_trend_200__SPY_95_105_collar__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'all_weather_sleeve_trend_200', 'SPY_95_105_collar', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.07965606127750569,0.07950313568479683,0.06274474397676502,1.007281137333667,-0.0779801604007957,0.023724799633911945,1.021491375089463,-0.009675921520144749,-0.01769092791491167,0.17841992783562688,292,292,182,182,102.5,0.0,8,0,0.15526457964024085,0.28324308282045524,0.057963018405459144,0.09168531056719864,0.04055407067021055,0.09243085880640466,0.05312676404817673,0.10338680926916222,"{""QQQ_vol_target_12"": 0.15, ""SHY"": 0.25, ""SPY_95_105_collar"": 0.15, ""all_weather_sleeve_trend_200"": 0.15, ""credit_canary_equity_allocation"": 0.15, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.15}",,,-0.01884598808864113,-0.03543807929312259,-0.0636200356522274,-0.06449174218400433,-0.062420649733747946,-0.07296851077241595,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.06526797830033337,0.06513648508151859,0.05171373574206993,0.9657975235075241,-0.0588629944126382,0.017422146714446102,1.108811723759673,-0.008149688972820994,0.009217931639236232,0.15657839904602122,244,244,219,182,106.0,0.0,3,0,0.18561008791741013,0.2468386155827227,0.04949939617235932,0.07397572423608234,0.03351881288186043,0.0,0.04565667061821932,0.0,"{""QQQ_vol_target_12"": 0.25, ""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.25}",,,-0.015196412535926407,-0.027455411921288198,-0.05622891548120379,-0.05856824968714214,-0.04611381744369525,-0.0588629944126382,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__retail_all_weather_fixed__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'retail_all_weather_fixed', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.08351230739412019,0.08335797671893563,0.0640505330075012,1.0655557216424825,-0.08487728152857743,0.02143305422714804,0.9839182628157375,-0.009848852178276137,-0.027239648528486704,0.15519388867984785,343,343,182,182,107.0,0.16666666666666666,6,0,0.13032209109929174,0.28482472353435256,0.07028983510692921,0.09079919798794012,0.04668775133359726,0.1772197962154294,0.05106339092971002,0.1412655971479501,"{""SHY"": 0.25, ""credit_canary_equity_allocation"": 0.25, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.25, ""retail_all_weather_fixed"": 0.25}",,,0.013513316844590895,-0.01540534629580348,-0.053699204794889766,-0.05776101265375577,-0.0548878446195904,-0.0718008609232802,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__QQQ_vol_target_12__sector_low_ulcer_positive_trend__all_weather_sleeve_trend_200,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'sector_low_ulcer_positive_trend', 'all_weather_sleeve_trend_200'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.08077000009479485,0.08061744090216028,0.06391184520310553,1.0212392646549098,-0.0815159598901104,0.023162533803135057,0.9908489111050013,-0.00993453868627724,-0.008902028460618161,0.20099558426813124,292,292,182,182,117.0,0.0,8,0,0.17970113538208998,0.28226948051262757,0.05870161826511988,0.09301053119856273,0.045967080416265516,0.1346433770014556,0.05545614377048702,0.05213903743315508,"{""QQQ_vol_target_12"": 0.1875, ""SHY"": 0.25, ""all_weather_sleeve_trend_200"": 0.1875, ""credit_canary_equity_allocation"": 0.1875, ""sector_low_ulcer_positive_trend"": 0.1875}",,,-0.011230471136627895,-0.046938332298230856,-0.0788011807148079,-0.07993311886981913,-0.05303035094648578,-0.0734070152915125,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__retail_all_weather_fixed__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'retail_all_weather_fixed', 'SPY_95_105_collar'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05657506591706829,0.05645430396315532,0.03992258388345484,1.0371064052313241,-0.056560679976063954,0.013494739322459629,1.0002543452626529,-0.005934938706637313,-0.001711731966628438,0.10270961589052408,292,292,182,182,127.5,0.0,2,0,0.14001307443351996,0.22855919968166918,0.0441346191474159,0.0634286844293801,0.030804010205369048,0.0,0.03778679835948595,0.0,"{""QQQ_vol_target_12"": 0.125, ""SHY"": 0.5, ""SPY_95_105_collar"": 0.125, ""credit_canary_equity_allocation"": 0.125, ""retail_all_weather_fixed"": 0.125}",,,-0.011678563867702163,-0.021744072188071617,-0.037549745549807834,-0.03895207677582124,-0.03833157355219763,-0.0517539493900826,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__sector_low_ulcer_positive_trend__retail_all_weather_fixed__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'sector_low_ulcer_positive_trend', 'retail_all_weather_fixed', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.06157647860694593,0.06144869710802636,0.04588841674805561,1.004086102504097,-0.05875167663818792,0.015481657749732628,1.048080363495906,-0.007023713780076319,-0.009874091827728582,0.13072446179988262,292,292,182,182,128.5,0.0,2,0,0.15649295735195964,0.2407126122804345,0.04816077569703392,0.06897236888788094,0.034704934458157144,0.0,0.04191184164878958,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1, ""retail_all_weather_fixed"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",,,-0.009579336918205228,-0.02894029013782351,-0.04452960254909211,-0.04532159976194583,-0.04572905753683154,-0.05471833179420382,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__retail_all_weather_fixed__SPY_95_105_collar__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'retail_all_weather_fixed', 'SPY_95_105_collar', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05887641532966614,0.05875168317184998,0.04274103066942822,1.0088926141895969,-0.060632846925861794,0.015075090766699639,0.9710316819142055,-0.006449306270546449,-0.008983234616981361,0.11123963865823483,292,292,182,182,128.5,0.0,2,0,0.14032207338239475,0.23556315451732648,0.046066204568535385,0.06593552729164864,0.031570770614848476,0.0,0.04006219129116828,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""SPY_95_105_collar"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1, ""retail_all_weather_fixed"": 0.1}",,,-0.012630350977635763,-0.022352690022091726,-0.037080374540575556,-0.03800739830851807,-0.04426023318789085,-0.05237043142338127,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__sector_low_ulcer_positive_trend__retail_all_weather_fixed__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'sector_low_ulcer_positive_trend', 'retail_all_weather_fixed', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.06057336583142048,0.060449364156734076,0.044402508418791,1.030248058802145,-0.053643266502383824,0.014414662781738278,1.1291886154756943,-0.006759459949970587,-0.017776815822529546,0.12467511748370241,292,292,182,182,182.0,0.0,1,0,0.1524230356435693,0.2338102109156857,0.04916662848517128,0.06685249917099845,0.032545844937872825,0.0,0.03819580478124607,0.0,"{""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.125, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.125, ""retail_all_weather_fixed"": 0.125, ""sector_low_ulcer_positive_trend"": 0.125}",,,-0.002347377367225123,-0.023037771431685505,-0.03890804192913855,-0.04207686667688515,-0.03580013323866149,-0.04588093734558618,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s100__credit_canary_equity_allocation__QQQ_vol_target_12__SPY_trend_150d__retail_all_weather_fixed,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'SPY_trend_150d', 'retail_all_weather_fixed'); 100% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.10440493669457873,0.10423449592717615,0.08792012408701103,1.0051600965007583,-0.1116275195619717,0.033285303277793145,0.9352974705902765,-0.013791673187838187,-0.027578130195863748,0.2363252899759425,294,294,183,183,74.5,0.14285714285714285,14,0,0.14996126214578373,0.30859959987575525,0.07318746141926691,0.12182791730396492,0.05219525982810058,0.5462154294032023,0.06610096415835409,0.5289661319073083,"{""QQQ_vol_target_12"": 0.25, ""SPY_trend_150d"": 0.25, ""credit_canary_equity_allocation"": 0.25, ""retail_all_weather_fixed"": 0.25}",,,-0.00875274445340557,-0.03987407119309372,-0.09682461126857889,-0.09852259260744323,-0.0855891796909879,-0.11162751956197148,credit_2008_2021,True,True,False,False,False,False,False,False
credit__s100__credit_canary_equity_allocation__SPY_trend_150d__retail_all_weather_fixed__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'SPY_trend_150d', 'retail_all_weather_fixed', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 100% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.10572310922866102,0.10555433833690442,0.0899233804722266,0.9991320013311935,-0.10475041642427341,0.0333487657430762,1.0092858132462967,-0.014160299634000768,-0.05647082882684906,0.23765511362447667,348,348,183,183,76.0,0.23076923076923078,13,0,0.14350995014076395,0.30520946948462474,0.07803261652133653,0.12113819445956686,0.04548309756808555,0.5294759825327511,0.058922533223588536,0.4505347593582888,"{""SPY_trend_150d"": 0.25, ""credit_canary_equity_allocation"": 0.25, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.25, ""retail_all_weather_fixed"": 0.25}",,,0.002094790841300931,-0.026365910378915447,-0.08152916782443087,-0.08571611626161357,-0.07728023284426722,-0.09483169456500173,credit_2008_2021,True,True,False,False,False,False,False,False
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__cross_asset_mom_126_top3__SPY_95_105_collar__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'cross_asset_mom_126_top3', 'SPY_95_105_collar', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.06027632294888674,0.06014619872981264,0.046561806250508486,0.9630666574416967,-0.054678037288308445,0.016526826028803104,1.1023863682425072,-0.007146208742543973,-0.014399744500681932,0.12636416019068197,327,327,183,183,86.0,0.0,3,0,0.15342832003301995,0.24542365300284752,0.0485018689255714,0.06675964616196617,0.029032774884294232,0.0,0.03873807217264247,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""SPY_95_105_collar"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""cross_asset_mom_126_top3"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1}",,,-0.013008342190292788,-0.025732737529191252,-0.053440380068977,-0.05451956096729782,-0.045888638412211025,-0.05275262666970537,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__SPY_trend_150d__retail_all_weather_fixed__SPY_95_105_collar__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'SPY_trend_150d', 'retail_all_weather_fixed', 'SPY_95_105_collar', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.07934670301337143,0.0791953751379737,0.06440833767010405,0.9841833447331525,-0.07637102895498549,0.02522882609562688,1.0389633883306701,-0.010002792576991255,-0.03858478923712261,0.16876548567390115,348,348,183,183,90.0,0.0,7,0,0.14183290848359711,0.2803547240246603,0.056836179188944014,0.09183677019826142,0.03216598717777264,0.09679767103347889,0.04650993719199237,0.12789661319073084,"{""SHY"": 0.25, ""SPY_95_105_collar"": 0.15, ""SPY_trend_150d"": 0.15, ""credit_canary_equity_allocation"": 0.15, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.15, ""retail_all_weather_fixed"": 0.15}",,,-0.01486353185252054,-0.02504532781270863,-0.05437169184806245,-0.056960596239497785,-0.0582797839556779,-0.06837344580841931,credit_2008_2021,False,True,False,False,False,False,False,False
credit__s75__credit_canary_equity_allocation__SPY_trend_150d__retail_all_weather_fixed__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'SPY_trend_150d', 'retail_all_weather_fixed', 'SPY_95_105_collar'); 75% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.07531676737270043,0.07516918036061204,0.059682392191334324,1.0060357502700161,-0.06656232872358803,0.023087117951540746,1.1315224214204822,-0.009158264528224548,-0.0335294851780461,0.15078631028911027,338,338,183,183,101.0,0.14285714285714285,7,0,0.13553978943652292,0.27444677853632155,0.0533394166895782,0.08750698827361347,0.030945271839354582,0.06914119359534207,0.040355981844608424,0.08823529411764706,"{""SHY"": 0.25, ""SPY_95_105_collar"": 0.1875, ""SPY_trend_150d"": 0.1875, ""credit_canary_equity_allocation"": 0.1875, ""retail_all_weather_fixed"": 0.1875}",,,-0.011924868109156384,-0.02315519729504001,-0.05350608413195057,-0.05976890685258274,-0.04507602847319081,-0.06326863924669901,credit_2008_2021,False,True,False,False,False,False,False,False
